"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"902","24_6_1000_8",6,1000,8,0.5,0.0287412635104895,0,0.011177157990676,5.4093335560057e-05,11.8657579471085,30,902,0.0669910438840493,0.214615384885781,4.230000023,-1.22971533220284,1.21256162207486
"903","24_6_1500_0",6,1500,0,0.683333333333333,0.0274825168041958,0.089999994,0.0106876453636364,0.000129669063746229,5.33511230406519,41,903,0.00821964145187409,0.14748251513986,2.429999916,0.0012127370140067,-1.23182774516642
"904","24_6_1500_4",6,1500,4,0.0166666666666667,0.0226572759440541,0,0.00881116313286643,0,4,1,904,0.00422078444527739,0.145804177207459,3.329999708,0.0012127370140067,-0.00963306154577855
"905","24_6_2000_0",6,2000,0,2.41666666666667,0.0237062878671329,0,0.00921911190909091,-8.9298057225129e-05,19.2004347474304,145,905,0.0745133077664361,0.120839151771562,2.879999802,1.23214080623085,-1.23182774516642
"906","24_7_1000_0",7,1000,0,0.433333333333333,0.0299999622937063,0,0.011666651969697,9.95919454294114e-06,3.33449678029732,26,906,0.00528372159653622,0.175384601125874,2.070000172,-1.22971533220284,-1.23182774516642
"907","24_7_1500_0",7,1500,0,0.366666666666667,0.0375524473776224,0,0.0146037295198135,7.29695469756098e-07,2.8001708672227,22,907,0.00203900431896641,0.119999997958042,1.170000035,0.0012127370140067,-1.23182774516642
"908","24_7_1500_8",7,1500,8,0.333333333333333,0.0304195678484848,0,0.0118298319417249,-6.25117998019897e-05,10.5335750643096,20,908,0.0328112014129592,0.291608387107226,3.510000031,0.0012127370140067,1.21256162207486
"909","24_7_2000_4",7,2000,4,0.65,0.0211888478927739,0,0.00824010742890442,-2.39313293846077e-05,9.06619978299436,39,909,0.016508884951864,0.105944079981352,1.710000113,1.23214080623085,-0.00963306154577855
"910","24_7_2000_8",7,2000,8,0.3,0.0218182134662004,0,0.00848486082983682,-2.18330372485538e-06,10.2672365882522,18,910,0.0210461991221835,0.355804218251748,2.700000107,1.23214080623085,1.21256162207486
"911","24_8_1000_0",8,1000,0,1.7,0.0205594821561772,0.090000182,0.00799535421445221,-2.38076334468929e-06,13.4664918594561,102,911,0.0867347809581749,0.166153863981352,5.400000215,-1.22971533220284,-1.23182774516642
"912","24_8_1000_4",8,1000,4,0.733333333333333,0.0222378010839161,-0.089999847,0.00864803364335664,-0.00206096463325978,9.72714500063067,44,912,0.0428353503290379,0.249860156463869,2.880000137,-1.22971533220284,-0.00963306154577855
"913","24_8_1000_8",8,1000,8,1.28333333333333,0.0264335919160839,0,0.0102797301818182,-6.09882612485624e-05,18.1311963869113,77,913,0.157699048906445,0.175174826937063,3.420000225,-1.22971533220284,1.21256162207486
"914","24_8_1500_0",8,1500,0,2.55,0.0211888287972028,0,0.008240100004662,-8.18926203611792e-05,20.266930491113,153,914,0.13070108127323,0.258251760664336,2.69999994,0.0012127370140067,-1.23182774516642
"915","24_8_1500_4",8,1500,4,0.416666666666667,0.0274824966923077,0.089999847,0.0106876375104895,1.71312603405582e-05,7.20121067383676,25,915,0.0148359760767686,0.163426527899767,3.870000131,0.0012127370140067,-0.00963306154577855
"916","24_8_2000_4",8,2000,4,0.516666666666667,0.0339860128741259,0,0.0132167827482517,-3.87340439539363e-06,7.99942509925254,31,916,0.0131721632158726,0.0719580408321678,2.610000134,1.23214080623085,-0.00963306154577855
"917","24_8_2000_8",8,2000,8,1.31666666666667,0.0237062927622378,0.089999931,0.00921911377389278,0.000167225671563909,18.3992768839409,79,917,0.0684817250047822,0.0744755097062937,1.349999886,1.23214080623085,1.21256162207486
