"","heading","startingpos","frame","x","z"
"98",1,0,98,-0.0881127139785072,12.9273250847054
"99",1,0,99,-0.0868061174828608,13.0606022220796
"100",1,0,100,-0.085502486515443,13.1938703058853
"101",1,0,101,-0.0841920217075827,13.3271671489604
"102",1,0,102,-0.0828817813280418,13.4604560714347
"103",1,0,103,-0.081569195915181,13.5937952919287
"104",1,0,104,-0.0802649829535176,13.7269595802606
"105",1,0,105,-0.0789682066837884,13.8602476169298
"106",1,0,106,-0.0776640280600693,13.9935206237066
"107",1,0,107,-0.0763761073255722,14.1267865115444
"108",1,0,108,-0.0750898725742505,14.260078124084
"109",1,0,109,-0.0738161782422765,14.3933915472192
"110",1,0,110,-0.0725507080028183,14.5266759710901
"111",1,0,111,-0.0712915392706053,14.6598700249125
"112",1,0,112,-0.0700476243412798,14.793195704287
"113",1,0,113,-0.0688155764739952,14.9264203572045
"114",1,0,114,-0.0675961782145281,15.0597213221018
"115",1,0,115,-0.0663885204260451,15.1929980081242
"116",1,0,116,-0.0651968102090091,15.3262806576556
"117",1,0,117,-0.06402177319123,15.4595198574539
"118",1,0,118,-0.0628592720462868,15.592790512421
"119",1,0,119,-0.0617116888368801,15.7260679072804
"120",1,0,120,-0.060579285263732,15.85936475221
