"","heading","frame","roadX","roadZ","heading_rads"
"78",0.5,78,-0.089577953935809,10.2638351176549,0.00872664625997165
"79",0.5,79,-0.0907416100005036,10.3971667406371,0.00872664625997165
"80",0.5,80,-0.0919046400144231,10.5304266307693,0.00872664625997165
"81",0.5,81,-0.0930678043875234,10.6637019157662,0.00872664625997165
"82",0.5,82,-0.094231536208719,10.7970422189225,0.00872664625997165
"83",0.5,83,-0.0953944204420134,10.9302854055218,0.00872664625997165
"84",0.5,84,-0.0965580121476765,11.0636096542511,0.00872664625997165
"85",0.5,85,-0.097721331779562,11.1969027287877,0.00872664625997165
"86",0.5,86,-0.0988846551201693,11.3301962282694,0.00872664625997165
"87",0.5,87,-0.100048477116847,11.4635468637255,0.00872664625997165
"88",0.5,88,-0.101211563410535,11.5968132023893,0.00872664625997165
"89",0.5,89,-0.102375396563313,11.7301651161105,0.00872664625997165
