"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"1413","33_8_1500_0",8,1500,0,0.3833333,0.02118859,0,0.008240008,6.491978e-05,2.932941,23,1413,0.002255409,0.1789512,2.789999,0.001212737,-1.231828
"1414","33_8_2000_0",8,2000,0,2,0.02055923,0.08999884,0.007995257,-8.983066e-05,15.86624,120,1414,0.05038628,0.1915383,1.98,1.232141,-1.231828
"1415","33_9_1500_0",9,1500,0,0.5666667,0.03860144,0.09000018,0.01501167,-2.176368e-05,4.400601,34,1415,0.005230716,0.1684616,1.89,0.001212737,-1.231828
"1416","33_9_1500_8",9,1500,8,0.5833333,0.03314687,0.09000002,0.01289045,5.421349e-05,12.53326,35,1416,0.04746664,0.2735664,2.79,0.001212737,1.212562
"1417","34_1_1000_8",1,1000,8,0.5,0.02454546,0,0.009545456,-6.266249e-05,11.86637,30,1417,0.06687923,0.39,3.87,-1.229715,1.212562
"1418","34_1_1500_4",1,1500,4,0.5666667,0.0247553,0,0.009627059,1.862494e-06,8.400271,34,1418,0.02041718,0.245035,3.24,0.001212737,-0.009633062
"1419","34_1_2000_0",1,2000,0,0.5333333,0.03398602,0,0.01321679,-4.162335e-06,4.132571,32,1419,0.005147797,0.1309091,1.17,1.232141,-1.231828
"1420","34_10_1000_0",10,1000,0,0.95,0.02790212,-1.62,0.01085082,-0.007901464,7.467538,57,1420,0.0181257,0.4336364,7.56,-1.229715,-1.231828
"1421","34_10_1000_8",10,1000,8,0.4666667,0.04804194,0,0.01868297,-2.597268e-05,11.60195,28,1421,0.06393133,0.3012588,5.4,-1.229715,1.212562
"1422","34_10_1500_4",10,1500,4,0.9666667,0.02748256,0.09000018,0.01068766,-1.346575e-05,11.60027,58,1422,0.04022387,0.1942658,3.06,0.001212737,-0.009633062
"1423","34_10_2000_8",10,2000,8,0.95,0.02999998,0,0.01166666,0.0001230812,15.46711,57,1423,0.04800292,0.1506293,3.51,1.232141,1.212562
"1424","34_11_1000_0",11,1000,0,0.8666667,0.02118879,0,0.008240083,7.257918e-06,6.800309,52,1424,0.02147468,0.2557343,2.88,-1.229715,-1.231828
"1425","34_11_1000_8",11,1000,8,0.4833333,0.02160831,0,0.008403233,1.982932e-05,11.73378,29,1425,0.06544184,0.1844056,3.15,-1.229715,1.212562
"1426","34_11_1500_8",11,1500,8,0.4666667,0.04573427,0,0.01778555,-6.431893e-06,11.60016,28,1426,0.04022812,0.4531469,3.15,0.001212737,1.212562
"1427","34_11_2000_4",11,2000,4,0.8,0.03566434,0,0.01386946,-1.255689e-05,10.26706,48,1427,0.02105964,0.1346853,1.8,1.232141,-0.009633062
"1428","34_12_1000_8",12,1000,8,0.4833333,0.02286717,0,0.008892788,0.0001940141,11.73405,29,1428,0.06562293,0.4875525,11.61,-1.229715,1.212562
"1429","34_12_1500_4",12,1500,4,0.7666667,0.03293706,0,0.01280886,3.455612e-05,10.00078,46,1429,0.02954585,0.3912588,4.23,0.001212737,-0.009633062
"1430","34_12_2000_4",12,2000,4,0.8,0.03755243,0,0.01460372,-1.394555e-05,10.26792,48,1430,0.02095656,0.2416784,2.25,1.232141,-0.009633062
"1431","34_2_1000_0",2,1000,0,0.8166667,0.03734263,-0.3599997,0.01452213,-0.002962915,6.399918,49,1431,0.01598535,0.216923,2.7,-1.229715,-1.231828
"1432","34_2_1500_0",2,1500,0,0.4,0.03000002,0,0.01166667,-1.477085e-05,3.066375,24,1432,0.002395193,0.1430769,1.26,0.001212737,-1.231828
"1433","34_2_1500_4",2,1500,4,0.5166667,0.04447551,0,0.01729603,-8.853879e-05,7.999438,31,1433,0.01829936,0.2123077,2.07,0.001212737,-0.009633062
"1434","34_2_2000_4",2,2000,4,0.65,0.03104895,0.09000002,0.01207459,4.440425e-05,9.066337,39,1434,0.01654539,0.1674126,1.26,1.232141,-0.009633062
"1435","34_3_1000_0",3,1000,0,0.75,0.02244759,-0.2699999,0.00872962,-0.004994103,5.865774,45,1435,0.0108314,0.3472027,2.43,-1.229715,-1.231828
"1436","34_3_1000_8",3,1000,8,0.65,0.0211888,0,0.008240088,-1.591136e-05,13.06643,39,1436,0.08153965,0.1334266,4.05,-1.229715,1.212562
"1437","34_3_1500_0",3,1500,0,0.5666667,0.02118885,0,0.008240107,2.503938e-06,4.399387,34,1437,0.00513906,0.5681118,7.38,0.001212737,-1.231828
